,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
460,E01001980,Haringey 018A,1986,11.1,54.4,30.0,355000,25,9.2,21.2,3.1,435,24453,15.0,75.52870090634441
461,E01001981,Haringey 018B,1761,9.7,60.1,28.0,385000,23,14.0,21.0,5.4,390,24205,25.0,141.9647927314026
462,E01001982,Haringey 018C,1772,10.2,54.5,27.4,335500,28,9.8,19.5,3.2,455,24698,12.0,67.72009029345372
463,E01001983,Haringey 018D,1652,10.0,50.0,23.4,435000,13,9.6,20.1,3.0,460,27412,9.0,54.479418886198545
464,E01002083,Haringey 019A,1440,15.4,60.6,31.3,347800,12,6.8,23.2,4.5,280,28693,7.0,48.611111111111114
465,E01002084,Haringey 019B,1623,30.6,53.5,29.4,340750,12,7.8,22.4,2.8,345,26963,14.0,86.2600123228589
466,E01002085,Haringey 019C,2168,13.1,56.8,33.1,270000,29,8.5,18.8,7.0,460,25144,110.0,507.380073800738
467,E01002087,Haringey 019D,1614,11.4,52.0,31.8,385000,28,9.8,21.2,5.8,335,25200,14.0,86.74101610904586
468,E01002014,Haringey 020B,1719,17.0,32.9,10.5,455000,29,6.1,10.6,4.0,270,37571,67.0,389.761489237929
469,E01002015,Haringey 020C,1480,12.1,31.7,11.4,507500,16,11.1,19.4,3.4,250,30722,11.0,74.32432432432432
470,E01002018,Haringey 020D,1420,12.2,25.4,8.3,465009,20,9.0,18.2,1.8,295,34527,5.0,35.2112676056338
471,E01033085,Haringey 020E,1780,15.6,38.3,17.1,310000,55,7.5,10.1,3.3,315,28284,15.0,84.26966292134831
472,E01033086,Haringey 020F,1091,6.0,44.1,25.6,242500,8,14.4,28.7,2.6,265,19815,3.0,27.497708524289642
473,E01002020,Haringey 021A,1564,29.3,29.8,9.8,469000,17,6.3,9.4,3.8,270,44528,57.0,364.4501278772379
474,E01002022,Haringey 021B,1921,20.4,35.1,13.0,536000,24,4.4,8.3,3.8,165,48468,136.0,707.9646017699115
475,E01002023,Haringey 021C,1474,16.3,22.8,6.6,575000,22,3.6,8.9,3.3,195,55090,3.0,20.352781546811396
476,E01002025,Haringey 021D,1717,39.9,24.2,5.4,1176500,22,4.3,4.1,2.4,195,64078,7.0,40.76878276062901
477,E01002013,Haringey 022A,1401,12.1,21.8,4.9,500000,21,5.0,10.5,2.5,230,49152,9.0,64.23982869379014
478,E01002019,Haringey 022B,1309,25.2,21.4,4.2,1110000,18,4.2,7.0,3.0,190,58662,9.0,68.75477463712758
479,E01002021,Haringey 022C,1479,18.5,21.4,5.1,1227500,18,4.0,7.5,2.9,205,57998,6.0,40.56795131845842
480,E01002024,Haringey 022D,1320,15.5,25.1,7.9,700000,11,5.1,14.3,3.3,205,48775,10.0,75.75757575757576
481,E01001998,Haringey 023A,2058,15.5,49.0,24.6,406000,37,6.2,13.2,6.3,330,33655,9.0,43.731778425655975
482,E01001999,Haringey 023B,2001,14.6,53.4,29.3,646000,23,6.8,15.5,4.5,310,29738,29.0,144.92753623188406
483,E01002003,Haringey 023C,2160,22.2,56.3,36.1,265000,17,10.1,18.8,6.7,485,23422,63.0,291.6666666666667
484,E01002004,Haringey 023D,1889,11.9,46.0,22.7,625000,25,8.2,14.7,5.7,265,31149,12.0,63.52567496029645
485,E01002067,Haringey 024A,1694,14.5,53.2,31.1,297500,18,12.8,26.1,3.2,445,22018,29.0,171.19244391971665
486,E01002069,Haringey 024B,1937,16.0,60.0,34.4,342000,11,12.9,23.3,6.1,395,22202,225.0,1161.5900877645845
487,E01002070,Haringey 024C,2038,16.2,50.8,24.8,400000,19,9.5,19.3,4.1,465,25241,18.0,88.32188420019628
488,E01002073,Haringey 024D,1763,11.1,58.2,33.3,340000,13,10.3,22.8,5.7,460,22670,18.0,102.09869540555871
489,E01002066,Haringey 025A,1843,19.7,50.6,29.6,249998,14,11.0,24.2,7.1,550,21297,125.0,678.2419967444383
490,E01002068,Haringey 025B,1822,29.7,56.3,26.8,330000,15,12.5,18.8,6.7,370,24868,104.0,570.8013172338091
491,E01002071,Haringey 025C,1615,10.8,57.0,34.4,300750,8,11.9,26.6,7.0,500,19662,29.0,179.56656346749224
492,E01002072,Haringey 025D,1868,18.2,54.0,27.8,351000,13,9.6,21.8,7.0,375,21987,123.0,658.458244111349
493,E01002043,Haringey 026A,2020,10.9,56.4,36.4,404750,20,8.8,20.7,3.5,425,25093,28.0,138.6138613861386
494,E01002045,Haringey 026B,2199,13.9,57.7,32.8,244000,22,13.9,20.4,3.3,580,24124,26.0,118.2355616189177
495,E01002046,Haringey 026C,1725,16.9,52.9,27.5,250000,14,9.7,25.8,4.2,380,23160,25.0,144.92753623188406
496,E01002049,Haringey 026D,1881,12.5,54.5,26.4,320000,21,9.4,26.0,3.1,500,23817,16.0,85.06113769271664
497,E01002042,Haringey 027A,1459,24.1,53.7,27.7,490000,23,6.5,17.1,3.7,245,27242,19.0,130.22618231665524
498,E01002044,Haringey 027B,1729,9.0,56.3,29.6,485000,15,7.3,16.5,4.3,230,27889,43.0,248.69866975130134
499,E01002047,Haringey 027C,1670,10.2,53.1,28.5,394000,17,5.9,17.9,4.6,230,28008,38.0,227.54491017964074
500,E01002048,Haringey 027D,1955,12.2,52.0,26.1,355000,15,9.2,19.2,4.9,360,26724,16.0,81.84143222506393
501,E01002016,Haringey 028A,1959,16.9,31.0,12.7,498975,24,5.6,10.7,4.3,385,38451,14.0,71.46503318019397
502,E01002017,Haringey 028B,1809,13.7,33.6,8.7,480000,33,11.3,10.2,4.0,275,41851,127.0,702.0453289110005
503,E01002059,Haringey 028C,1671,23.5,29.3,11.1,569975,30,8.4,14.8,3.4,325,39071,9.0,53.85996409335727
504,E01002060,Haringey 028D,1759,12.6,25.6,7.3,635000,27,4.5,6.4,3.2,290,49636,16.0,90.96077316657191
505,E01002050,Haringey 029A,1895,10.9,42.0,22.5,400000,7,6.0,30.1,5.2,920,30862,5.0,26.385224274406333
506,E01002051,Haringey 029B,1683,12.3,59.4,34.5,254995,10,10.3,25.0,6.6,535,24092,22.0,130.718954248366
507,E01002052,Haringey 029C,2020,21.4,37.3,17.1,650000,5,9.2,32.3,2.7,1110,29226,13.0,64.35643564356435
508,E01002055,Haringey 029D,1658,9.6,38.8,23.9,580000,4,5.3,28.4,6.2,770,30174,29.0,174.90952955367914
509,E01001994,Haringey 030A,1784,34.0,35.7,10.4,450000,35,3.7,9.3,3.3,225,52248,8.0,44.84304932735426
510,E01002008,Haringey 030B,1571,64.4,31.3,7.2,1643750,28,3.3,9.3,2.7,155,67696,10.0,63.653723742838956
511,E01002010,Haringey 030C,1658,59.7,28.8,6.8,645000,31,4.2,11.9,2.9,215,49638,10.0,60.31363088057901
512,E01002011,Haringey 030D,1718,64.9,32.4,10.0,535000,25,4.2,7.0,4.3,215,47713,31.0,180.44237485448195
513,E01002000,Haringey 031A,1697,16.2,44.4,23.6,399975,30,5.9,12.5,3.9,330,33929,21.0,123.74779021803181
514,E01002001,Haringey 031B,1661,10.6,46.8,21.7,403000,27,6.0,12.0,4.7,215,34324,30.0,180.61408789885613
515,E01002002,Haringey 031C,1806,65.1,46.2,25.4,583000,11,7.1,10.7,5.3,260,28345,179.0,991.140642303433
516,E01002058,Haringey 031D,1690,15.5,53.2,26.1,549975,8,8.1,15.2,5.0,320,28508,80.0,473.37278106508876
517,E01002053,Haringey 032A,1745,14.3,52.8,25.8,370000,7,11.4,25.1,5.9,520,22615,9.0,51.57593123209169
518,E01002054,Haringey 032B,1732,8.3,53.4,35.0,224250,14,15.8,27.2,4.5,495,19096,33.0,190.5311778290993
519,E01002056,Haringey 032C,1964,21.2,53.6,27.1,378400,16,7.0,20.2,4.0,465,24157,37.0,188.3910386965377
520,E01002057,Haringey 032D,1581,15.9,53.8,24.6,399950,11,8.9,19.9,2.3,375,25761,35.0,221.37887413029728
521,E01001984,Haringey 033A,1590,19.9,36.2,14.3,555000,36,4.6,7.1,3.0,185,47019,17.0,106.91823899371069
522,E01001985,Haringey 033B,1690,18.8,26.7,6.6,602500,32,3.7,5.1,2.9,220,57461,4.0,23.668639053254438
523,E01001987,Haringey 033C,1847,30.5,33.8,9.3,850000,26,3.7,5.2,3.7,200,61546,11.0,59.55603681645912
524,E01001989,Haringey 033D,1725,28.7,26.1,6.5,468000,37,5.2,6.4,2.9,245,54617,43.0,249.27536231884056
525,E01001986,Haringey 034A,1635,13.5,27.9,9.4,527500,26,3.5,7.3,3.1,265,51002,8.0,48.92966360856269
526,E01001988,Haringey 034B,1771,17.3,26.9,8.2,545500,29,4.4,7.9,3.8,240,48609,40.0,225.8610954263128
527,E01001990,Haringey 034C,2137,15.2,27.5,6.9,559500,26,6.4,5.9,4.0,230,46419,126.0,589.6116050538137
528,E01002062,Haringey 034D,1874,19.9,30.4,8.1,458000,30,4.7,8.6,4.1,250,44561,13.0,69.37033084311632
529,E01002005,Haringey 035A,1688,9.4,35.4,14.2,570000,24,3.3,3.5,4.3,155,51020,17.0,100.71090047393365
530,E01002006,Haringey 035B,1602,11.0,34.0,10.6,495000,33,4.5,5.1,3.8,170,50214,15.0,93.63295880149813
531,E01002007,Haringey 035C,1676,16.8,30.0,8.9,962500,32,4.5,3.9,4.8,140,56659,12.0,71.59904534606206
532,E01002009,Haringey 035D,1719,23.7,28.9,6.6,915000,27,3.3,5.2,4.7,170,59445,37.0,215.2414194299011
533,E01002061,Haringey 036A,1687,16.7,28.9,8.3,475000,21,4.9,7.0,3.9,185,48150,7.0,41.49377593360996
534,E01002063,Haringey 036B,1587,14.1,31.3,10.9,462500,22,6.5,10.7,4.2,250,40022,16.0,100.81915563957152
535,E01002064,Haringey 036C,1514,9.3,37.8,15.9,431000,10,7.9,15.3,6.3,280,29633,21.0,138.70541611624833
536,E01002065,Haringey 036D,1666,13.4,36.8,13.3,410000,28,5.8,9.2,7.4,155,37840,23.0,138.05522208883554
537,E01002034,Haringey 037A,1859,28.3,54.4,34.5,137000,2,19.2,30.9,4.9,565,18144,123.0,661.6460462614308
538,E01002038,Haringey 037B,1653,13.9,56.6,38.7,253000,8,15.3,32.7,5.0,535,18589,34.0,205.686630369026
539,E01002041,Haringey 037C,1886,12.7,51.2,24.2,330000,13,14.1,27.2,4.6,550,21335,17.0,90.13785790031814
540,E01032575,Haringey 037D,1908,14.5,52.1,28.7,235000,8,12.2,30.0,4.1,665,20969,30.0,157.23270440251574
541,E01002755,Islington 001A,1326,9.8,33.6,13.2,477500,15,13.7,23.4,3.7,275,29763,5.0,37.70739064856712
542,E01002756,Islington 001B,1332,11.5,27.6,8.0,493500,19,6.8,13.4,4.1,195,42461,19.0,142.64264264264264
543,E01002758,Islington 001C,1576,11.9,38.2,18.1,404000,17,12.3,19.8,3.4,380,26487,27.0,171.3197969543147
544,E01002804,Islington 001D,1669,11.0,35.3,14.7,411339,14,10.1,18.8,3.9,370,29289,23.0,137.80707010185742
545,E01002807,Islington 001E,1734,9.2,38.6,18.0,350000,14,9.7,20.2,3.9,380,29365,15.0,86.50519031141869
546,E01002811,Islington 001F,1545,10.2,36.1,14.6,363000,19,10.4,20.4,4.0,405,31895,19.0,122.97734627831714
547,E01002753,Islington 002A,1429,8.1,35.4,15.3,372000,7,9.4,19.9,4.6,285,30095,22.0,153.95381385584324
548,E01002754,Islington 002B,1508,12.3,32.0,13.0,675000,18,6.5,10.8,5.7,250,52073,7.0,46.41909814323607
549,E01002757,Islington 002C,1433,9.1,30.4,10.7,427500,16,8.6,16.6,3.2,330,37729,8.0,55.82693649685973
550,E01002759,Islington 002D,1647,10.6,28.0,8.2,535000,12,3.9,15.2,5.2,270,48194,11.0,66.78809957498483
551,E01002760,Islington 002E,1543,9.0,37.5,16.1,361000,14,14.8,25.0,3.7,440,27241,11.0,71.28969539857421
552,E01002772,Islington 002F,1848,10.4,34.6,13.7,362500,48,7.7,15.1,7.0,285,33104,48.0,259.7402597402598
553,E01002735,Islington 003A,1645,10.8,41.1,19.6,400000,27,6.5,14.4,7.7,285,31782,88.0,534.9544072948329
554,E01002805,Islington 003B,1569,12.8,33.0,14.4,450000,18,5.8,12.9,6.1,170,35735,52.0,331.42128744423195
555,E01002806,Islington 003C,1595,11.2,27.3,11.7,638717,23,8.0,14.2,4.9,285,40286,17.0,106.58307210031349
556,E01002808,Islington 003D,1907,13.1,34.3,15.3,427500,28,7.1,17.1,3.9,320,35513,29.0,152.07131620346092
557,E01002809,Islington 003E,1640,8.9,36.0,14.4,650000,25,9.9,15.0,5.0,295,32954,25.0,152.4390243902439
558,E01002810,Islington 003F,1652,8.3,35.0,15.2,505500,16,9.8,20.2,4.6,340,32488,31.0,187.65133171912834
559,E01002768,Islington 004A,1604,10.4,29.9,10.0,351750,12,7.8,17.8,4.9,270,34648,25.0,155.86034912718205
560,E01002770,Islington 004B,1541,21.0,35.6,14.1,488600,15,5.8,14.5,6.8,200,40940,208.0,1349.7728747566514
561,E01002771,Islington 004C,1483,12.0,31.6,12.7,565000,15,10.1,14.8,5.9,295,35546,29.0,195.54956169925825
562,E01002773,Islington 004D,1386,9.7,41.6,19.1,301250,8,12.8,32.2,6.6,265,24396,5.0,36.075036075036074
563,E01002774,Islington 004E,2110,17.9,35.8,13.3,530000,21,9.2,16.8,6.5,370,34645,46.0,218.00947867298578
564,E01002732,Islington 005A,1845,13.6,39.5,19.1,358500,12,14.2,24.3,7.5,415,27332,37.0,200.5420054200542
565,E01002734,Islington 005B,1692,11.8,46.3,31.0,285000,3,13.2,23.9,8.0,585,23014,441.0,2606.3829787234044
566,E01002736,Islington 005C,1580,7.3,42.6,23.9,435000,12,12.7,40.8,6.2,415,24547,15.0,94.9367088607595
567,E01002737,Islington 005D,1957,7.7,40.1,25.1,394000,18,13.1,28.6,4.6,565,25693,16.0,81.75779253960144
568,E01002751,Islington 005E,1796,7.8,44.1,25.1,355000,9,13.2,21.6,7.1,380,27887,15.0,83.51893095768375
569,E01002742,Islington 006A,1561,10.7,28.3,7.4,925000,18,3.4,10.4,4.4,235,59929,33.0,211.4029468289558
570,E01002747,Islington 006B,1635,10.3,33.6,12.4,650000,15,4.4,11.4,7.2,235,52153,87.0,532.1100917431193
571,E01002748,Islington 006C,1467,14.1,37.9,17.5,425000,9,11.7,18.8,7.2,365,31667,129.0,879.3456032719836
572,E01002749,Islington 006D,1316,8.3,32.1,14.4,1116000,11,5.8,17.2,5.6,330,37185,48.0,364.741641337386
573,E01033493,Islington 006F,1301,3.6,32.3,10.1,500000,88,2.0,2.7,4.5,60,60440,,
574,E01033494,Islington 006G,1498,10.7,26.4,8.3,1105000,18,3.3,9.5,5.0,190,56716,26.0,173.56475300400535
575,E01002730,Islington 007A,1781,14.1,41.3,19.5,510000,21,9.3,15.7,7.2,225,33146,49.0,275.12633352049414
576,E01002731,Islington 007B,2466,17.5,42.4,19.7,397625,38,5.7,12.8,6.4,360,34575,329.0,1334.1443633414437
577,E01002733,Islington 007C,1392,8.9,39.0,12.4,494977,22,5.7,11.2,5.1,170,46806,15.0,107.75862068965517
578,E01002763,Islington 007D,1437,9.9,42.9,16.7,323000,12,7.1,19.8,6.9,165,30041,33.0,229.64509394572025
579,E01002769,Islington 008A,2053,21.5,34.2,11.8,802500,30,3.9,10.7,4.4,215,44522,34.0,165.61130053580126
580,E01002785,Islington 008B,1968,14.2,30.8,11.3,837500,21,6.6,14.2,4.5,285,48267,42.0,213.41463414634148
581,E01002788,Islington 008C,1851,12.3,31.3,9.2,506000,26,5.8,9.7,3.9,205,46706,28.0,151.269584008644
582,E01002789,Islington 008D,1874,13.4,25.9,7.2,590000,25,3.9,7.0,4.5,215,59910,21.0,112.05976520811099
583,E01002738,Islington 009A,1785,25.5,30.8,10.6,650000,63,8.3,14.4,4.7,260,46717,55.0,308.12324929971993
584,E01002741,Islington 009B,1513,10.6,35.5,18.9,399950,13,10.8,23.5,3.4,385,27302,21.0,138.79709187045606
585,E01002743,Islington 009C,1672,9.7,32.0,14.5,594000,20,6.2,16.4,3.2,265,40460,17.0,101.67464114832535
586,E01002744,Islington 009D,1442,9.9,29.1,9.8,604000,19,6.9,13.4,3.4,160,48120,23.0,159.50069348127602
587,E01002752,Islington 009E,1522,9.0,30.8,11.1,595000,25,7.5,17.9,4.2,305,38186,25.0,164.257555847569
588,E01002764,Islington 010A,1779,13.3,31.9,13.9,369500,20,8.3,21.5,5.3,315,30746,11.0,61.83249016301293
589,E01002783,Islington 010B,1487,9.8,32.1,13.8,351500,14,9.3,24.8,4.2,245,28524,24.0,161.3987895090787
590,E01002784,Islington 010C,1795,12.9,34.0,16.5,380000,15,11.0,22.9,4.1,420,29960,19.0,105.84958217270196
591,E01002786,Islington 010D,1805,10.9,38.0,16.5,391500,14,8.2,20.0,5.6,385,29531,9.0,49.86149584487534
592,E01002787,Islington 010E,1620,11.1,38.0,17.3,377500,14,9.7,19.9,5.0,275,30038,18.0,111.11111111111111
593,E01002762,Islington 011C,1949,16.0,35.5,13.3,540000,29,6.0,12.6,6.1,220,42726,29.0,148.7942534633145
594,E01002767,Islington 011D,2044,11.9,39.6,17.7,310500,24,8.2,23.2,6.5,330,29936,30.0,146.77103718199606
595,E01033486,Islington 011E,1036,6.7,34.7,15.5,452600,7,8.4,21.0,6.4,210,32015,7.0,67.56756756756756
596,E01033487,Islington 011F,1226,2.4,46.3,19.2,449250,26,3.4,3.8,5.7,160,45876,13.0,106.03588907014682
597,E01033488,Islington 011G,1205,10.1,39.0,16.9,522500,30,9.3,17.4,6.1,215,32355,47.0,390.0414937759336
598,E01033491,Islington 011H,1680,18.8,41.7,20.8,500000,147,7.7,12.6,6.6,260,34127,179.0,1065.4761904761904
599,E01033492,Islington 011I,1348,15.0,36.6,12.7,435000,90,2.7,3.6,5.1,310,49761,14.0,103.85756676557862
600,E01002777,Islington 012A,1626,11.8,28.9,10.4,629500,30,6.1,14.2,6.7,240,40528,41.0,252.15252152521523
601,E01002778,Islington 012B,1787,10.5,38.2,19.1,330000,11,13.0,26.0,6.7,455,25042,25.0,139.89927252378288
602,E01002779,Islington 012C,1891,11.1,37.0,11.7,542500,30,5.1,9.4,4.9,305,43804,80.0,423.05658381808564
603,E01002781,Islington 012D,1350,9.1,33.9,13.0,425000,9,9.5,21.9,5.0,275,33298,15.0,111.11111111111111
604,E01002782,Islington 012E,1533,8.8,41.4,24.5,490400,15,12.8,27.6,5.8,455,26679,13.0,84.80104370515329
605,E01002739,Islington 013A,1835,11.7,27.9,9.2,866225,30,5.4,10.5,5.9,255,56499,73.0,397.8201634877384
606,E01002740,Islington 013B,1826,22.2,32.6,8.4,1060000,31,3.0,7.2,7.0,275,63800,78.0,427.1631982475356
607,E01002745,Islington 013C,1467,10.7,26.6,8.7,673555,19,5.4,10.9,3.7,185,51029,25.0,170.41581458759373
608,E01002795,Islington 013D,1997,17.6,36.8,12.5,630000,23,6.5,15.3,7.0,320,39801,388.0,1942.914371557336
609,E01002796,Islington 013E,1039,7.8,32.9,12.7,506389,12,6.1,15.3,6.6,165,46245,19.0,182.8681424446583
610,E01002716,Islington 014A,2300,13.1,32.6,13.0,355000,13,9.8,23.8,6.9,460,29485,33.0,143.47826086956522
611,E01002718,Islington 014B,1661,9.9,29.8,10.3,823250,24,4.2,10.6,6.2,165,54572,19.0,114.38892233594221
612,E01002721,Islington 014C,1667,12.1,28.0,8.3,645000,29,7.5,19.8,5.4,215,38237,44.0,263.9472105578884
613,E01002775,Islington 014D,1429,11.8,31.5,10.0,703000,19,5.0,10.9,6.7,155,48489,68.0,475.8572428271519
614,E01002776,Islington 014E,1661,11.6,27.5,10.6,503250,26,6.7,19.4,6.9,315,35147,41.0,246.83925346177003
615,E01002780,Islington 014F,1640,7.9,31.4,9.4,680000,27,7.6,14.0,5.9,255,40602,31.0,189.02439024390245
616,E01002708,Islington 015A,1979,33.7,41.0,20.9,439000,29,6.5,18.3,3.6,360,29175,58.0,293.0773117736231
617,E01002712,Islington 015B,1780,11.5,33.1,14.4,485000,20,13.1,24.1,5.6,190,33922,31.0,174.1573033707865
618,E01002713,Islington 015C,1559,14.3,33.5,13.9,330000,8,11.2,34.2,5.7,300,25555,30.0,192.43104554201412
619,E01002765,Islington 015D,2513,17.1,43.9,19.8,321500,32,10.5,20.6,6.0,530,27012,69.0,274.57222443294864
620,E01002766,Islington 015E,1794,13.7,42.2,21.8,360000,15,11.2,25.5,4.6,435,24692,13.0,72.46376811594203
621,E01002717,Islington 016A,1315,12.4,28.2,10.3,726500,9,6.5,15.4,6.8,175,46094,7.0,53.2319391634981
622,E01002719,Islington 016B,1490,14.6,26.7,6.9,850000,25,4.8,12.3,7.0,165,54462,70.0,469.7986577181208
623,E01002720,Islington 016C,2334,10.1,32.2,16.0,465800,14,11.6,24.2,6.7,625,27242,36.0,154.24164524421593
624,E01002790,Islington 016D,1435,7.9,29.9,11.6,623514,6,10.1,26.6,6.7,250,30671,41.0,285.7142857142857
625,E01002791,Islington 016E,1543,14.3,30.8,10.6,800000,21,5.7,14.1,7.1,140,53326,93.0,602.7219701879455
626,E01002793,Islington 016F,1905,10.7,33.4,13.1,640000,15,9.3,19.6,7.0,360,35109,36.0,188.9763779527559
627,E01002698,Islington 017A,2063,11.0,29.7,10.7,595000,48,6.4,10.6,5.8,270,47477,49.0,237.5181774115366
628,E01002699,Islington 017B,1507,9.2,25.0,6.1,930000,24,5.4,13.6,4.8,160,52338,10.0,66.35700066357
629,E01002700,Islington 017C,1478,18.0,28.2,6.9,814975,28,3.8,8.1,3.5,145,75640,17.0,115.02029769959404
630,E01002714,Islington 017D,1698,11.5,32.9,12.3,545000,28,3.6,7.3,4.7,175,56752,18.0,106.0070671378092
631,E01002792,Islington 017E,1869,10.5,30.6,7.6,765000,17,6.5,9.6,6.5,230,53557,112.0,599.2509363295881
632,E01002722,Islington 018A,1305,8.5,27.1,10.5,525000,17,10.2,25.5,6.1,225,31140,4.0,30.65134099616858
633,E01002797,Islington 018B,1873,10.9,30.1,9.3,512500,16,9.5,21.2,6.0,325,33182,68.0,363.05392418579817
634,E01002798,Islington 018C,1965,13.8,26.4,6.9,927500,38,4.0,15.0,3.6,260,53817,61.0,310.4325699745547
635,E01002799,Islington 018D,1839,8.5,33.7,15.0,555000,14,11.4,23.4,5.9,380,30992,23.0,125.06797172376292
636,E01002800,Islington 018E,1049,8.1,33.0,15.9,440000,42,15.9,31.9,3.1,250,25628,18.0,171.59199237368924
637,E01002694,Islington 019A,1532,7.0,35.9,17.8,400000,7,13.1,29.2,5.0,400,26707,12.0,78.32898172323759
638,E01002697,Islington 019B,2098,11.1,52.3,20.0,375000,4,11.4,20.9,7.9,350,25632,51.0,243.0886558627264
639,E01002709,Islington 019C,1754,8.0,38.1,16.9,475000,16,8.1,25.7,4.7,325,28959,31.0,176.7388825541619
640,E01002710,Islington 019D,1676,13.9,34.1,13.8,415000,13,10.6,26.8,5.9,345,30475,118.0,704.0572792362769
641,E01002715,Islington 019E,1511,5.8,39.6,24.3,316500,12,13.4,25.7,3.8,385,24456,20.0,132.36267372600926
642,E01002696,Islington 020A,1813,14.8,33.2,11.8,928750,28,5.9,12.5,5.1,200,53155,279.0,1538.8858246001103
643,E01002794,Islington 020B,1765,18.1,36.0,12.2,727500,22,5.6,10.1,6.3,190,50851,364.0,2062.3229461756373
644,E01002801,Islington 020C,1553,10.7,31.1,10.7,735000,26,4.0,10.3,6.8,140,59919,118.0,759.8197037990985
645,E01002802,Islington 020D,1480,11.0,31.3,9.5,987498,40,5.4,11.7,4.7,175,56756,34.0,229.72972972972974
646,E01002803,Islington 020E,2063,18.0,38.5,13.6,717500,30,5.5,14.0,6.3,310,44983,359.0,1740.1841977702377
647,E01002695,Islington 021A,1710,11.8,39.4,17.2,500748,14,5.5,20.7,6.7,190,34441,83.0,485.38011695906437
648,E01002711,Islington 021B,1939,15.1,44.5,17.4,662520,16,5.7,10.6,8.0,280,37518,894.0,4610.624033006705
649,E01002727,Islington 021C,1624,11.6,34.8,11.9,741000,27,6.1,15.3,6.8,200,43271,52.0,320.1970443349754
650,E01002728,Islington 021D,1635,9.1,50.7,18.1,700000,17,8.6,9.9,7.7,140,32007,65.0,397.5535168195719
651,E01002729,Islington 021E,1593,13.2,30.4,9.1,1162500,10,7.4,18.4,6.6,190,47283,125.0,784.6829880728186
652,E01002707,Islington 022B,1726,11.9,45.0,21.0,495000,19,6.5,15.9,6.6,240,35285,162.0,938.5863267670916
653,E01002723,Islington 022C,1529,10.3,35.3,16.3,625000,15,7.8,22.3,6.5,310,29790,74.0,483.9764551994768
654,E01002724,Islington 022D,1973,26.4,41.5,14.9,799975,46,2.7,7.4,7.5,155,58136,466.0,2361.885453623923
655,E01002725,Islington 022E,1444,6.1,39.5,17.1,360000,6,7.7,19.9,6.0,275,29917,25.0,173.13019390581718
656,E01002726,Islington 022F,1692,16.9,36.8,14.2,605000,21,7.7,16.5,6.7,280,37328,196.0,1158.3924349881797
657,E01033489,Islington 022G,1832,9.4,44.4,17.9,865000,38,2.4,2.3,7.0,100,52722,67.0,365.72052401746726
658,E01033490,Islington 022H,1693,12.0,45.4,25.7,587500,26,6.5,11.1,7.3,185,35434,211.0,1246.3083284111046
659,E01002701,Islington 023A,1582,8.3,40.8,16.6,558750,20,10.1,23.1,7.0,310,30924,61.0,385.58786346396965
660,E01002702,Islington 023B,1957,11.6,46.0,21.1,618475,12,11.4,18.8,6.3,380,30281,64.0,327.03117015840576
661,E01002703,Islington 023C,1635,8.6,40.6,18.5,600000,30,8.7,18.7,6.8,455,29330,46.0,281.3455657492355
662,E01002704,Islington 023D,2198,33.5,39.8,15.8,650000,31,10.3,18.2,7.9,360,37054,818.0,3721.565059144677
663,E01002706,Islington 023E,2016,13.6,34.5,15.4,765000,20,7.8,20.3,7.5,385,32202,134.0,664.6825396825396
664,E01002852,Kensington and Chelsea 001A,1908,51.3,49.2,25.8,336375,8,12.0,22.4,4.6,495,22478,70.0,366.87631027253667
665,E01002853,Kensington and Chelsea 001B,1093,6.3,46.1,21.5,910000,17,13.4,30.3,4.8,275,22790,29.0,265.3247941445563
666,E01002854,Kensington and Chelsea 001C,1121,12.9,46.7,24.0,372000,5,15.7,24.6,4.3,290,22249,32.0,285.4594112399643
667,E01002855,Kensington and Chelsea 001D,1728,10.6,44.5,16.8,469250,16,13.3,23.5,4.2,305,24377,127.0,734.9537037037036
668,E01002857,Kensington and Chelsea 001E,1349,6.0,46.1,21.4,250000,3,16.2,26.2,3.4,355,17879,17.0,126.01927353595256
669,E01002904,Kensington and Chelsea 002A,1173,9.9,39.7,21.4,325000,1,17.4,25.3,2.6,340,20507,2.0,17.050298380221655
670,E01002905,Kensington and Chelsea 002B,1568,16.9,38.6,17.9,452500,18,11.3,24.6,4.9,315,25120,23.0,146.68367346938777
671,E01002906,Kensington and Chelsea 002C,1681,19.4,36.5,15.0,750000,23,11.3,24.9,3.7,335,28828,50.0,297.441998810232
672,E01002907,Kensington and Chelsea 002D,1376,5.2,34.1,20.5,840137,1,16.1,30.1,2.3,415,24540,2.0,14.534883720930232
673,E01002876,Kensington and Chelsea 003A,1732,12.5,31.9,11.7,1850000,20,7.3,13.7,3.6,240,40489,23.0,132.79445727482678
674,E01002877,Kensington and Chelsea 003B,1710,16.8,40.8,22.1,1155000,4,10.6,21.1,4.3,435,24409,42.0,245.6140350877193
