,Lower Super Output Area,Names,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Country of Birth;% Not United Kingdom;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011,House Prices;Median Price (?;2014,House Prices;Sales;2014,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Public Transport Accessibility Levels (2014);Average Score;,Child Benefit;Total Number of Children;2013,"Household Income, 2011/12;Median Annual Household Income estimate (?",theft_number,theft_rate
46,E01000969,Camden 010A,2032,16.7,49.3,14.4,745000,26,3.9,4.1,6.2,125,54854,16.0,78.74015748031496
47,E01000970,Camden 010B,1444,6.9,40.8,13.1,625000,19,3.4,4.4,5.8,100,48915,43.0,297.78393351800554
48,E01000971,Camden 010C,1478,8.0,35.2,11.2,605094,22,4.0,8.0,4.9,180,55958,12.0,81.19079837618403
49,E01000972,Camden 010D,2009,14.0,48.2,21.7,380000,13,8.2,15.0,6.8,350,30164,121.0,602.2896963663514
50,E01000973,Camden 010E,1885,23.6,43.3,15.9,500000,23,7.1,10.9,6.2,265,33620,144.0,763.9257294429708
51,E01000842,Camden 011A,1444,10.5,49.0,11.6,875000,24,3.9,4.1,4.1,115,62118,19.0,131.57894736842104
52,E01000844,Camden 011B,1772,11.4,53.3,17.1,910000,35,3.1,4.6,4.4,165,61186,18.0,101.58013544018058
53,E01000848,Camden 011C,1588,10.1,48.2,15.5,925000,38,3.9,7.4,4.3,125,60261,19.0,119.64735516372797
54,E01000849,Camden 011D,1569,7.8,44.9,13.2,725000,35,3.2,5.5,4.7,115,50928,26.0,165.71064372211598
55,E01000900,Camden 012A,1801,9.9,30.3,10.8,560805,28,8.8,19.1,4.3,325,31182,22.0,122.15435868961687
56,E01000902,Camden 012B,1451,8.4,35.1,17.1,471750,6,10.6,21.9,3.2,395,24571,17.0,117.16057891109581
57,E01000904,Camden 012C,2120,11.7,34.7,13.8,565000,19,8.8,18.1,6.7,430,29190,117.0,551.8867924528302
58,E01000905,Camden 012D,2044,8.6,39.6,20.6,370000,11,11.9,29.2,5.0,570,21024,22.0,107.63209393346379
